nome,link,pdf_link
ADI 4967,https://jurisprudencia.stf.jus.br/pages/search/sjur299968/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=8193622
ADI 2883,https://jurisprudencia.stf.jus.br/pages/search/sjur6626/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=2883&classe=ADI
ADI 2485,https://jurisprudencia.stf.jus.br/pages/search/sjur417382/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751661299
ADI 4114,https://jurisprudencia.stf.jus.br/pages/search/sjur418760/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751971999
ADI 3966,https://jurisprudencia.stf.jus.br/pages/search/sjur410308/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750738452
ADI 4628,https://jurisprudencia.stf.jus.br/pages/search/sjur285926/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=7310046
ADI 5725,https://jurisprudencia.stf.jus.br/pages/search/sjur397078/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748888120
ADI 4090,https://jurisprudencia.stf.jus.br/pages/search/sjur410731/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750833023
ADI 3564,https://jurisprudencia.stf.jus.br/pages/search/sjur275847/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=6671547
ADI 5720,https://jurisprudencia.stf.jus.br/pages/search/sjur412247/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751044405
ADI 3994,https://jurisprudencia.stf.jus.br/pages/search/sjur410309/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750738453
ADI 5663,https://jurisprudencia.stf.jus.br/pages/search/sjur410740/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750833032
ADI 3223,https://jurisprudencia.stf.jus.br/pages/search/sjur290714/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=7637724
ADI 4950,https://jurisprudencia.stf.jus.br/pages/search/sjur283854/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=7182138
ADI 2840,https://jurisprudencia.stf.jus.br/pages/search/sjur96303/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=2840&classe=ADI
ADI 2464,https://jurisprudencia.stf.jus.br/pages/search/sjur91068/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=2464&classe=ADI
ADI 2921,https://jurisprudencia.stf.jus.br/pages/search/sjur382349/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=14537345
ADI 5287,https://jurisprudencia.stf.jus.br/pages/search/sjur355952/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=11638659
ADI 4174,https://jurisprudencia.stf.jus.br/pages/search/sjur413243/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751181466
ADI 1601,https://jurisprudencia.stf.jus.br/pages/search/sjur411874/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750995571
ADI 4418,https://jurisprudencia.stf.jus.br/pages/search/sjur363834/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=12592854
ADI 3777,https://jurisprudencia.stf.jus.br/pages/search/sjur291440/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=7695038
ADI 3345,https://jurisprudencia.stf.jus.br/pages/search/sjur181020/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=3345&classe=ADI
ADI 4647,https://jurisprudencia.stf.jus.br/pages/search/sjur387041/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=15079433
ADI 429,https://jurisprudencia.stf.jus.br/pages/search/sjur282452/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=7065854
ADI 3029,https://jurisprudencia.stf.jus.br/pages/search/sjur422076/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=752454018
ADI 3936,https://jurisprudencia.stf.jus.br/pages/search/sjur414532/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751331204
ADI 2675,https://jurisprudencia.stf.jus.br/pages/search/sjur370239/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=13120658
ADI 170,https://jurisprudencia.stf.jus.br/pages/search/sjur403031/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749728410
ADI 2655,https://jurisprudencia.stf.jus.br/pages/search/sjur97218/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=2655&classe=ADI
