nome,link,pdf_link
RE 1089282 RG,https://jurisprudencia.stf.jus.br/pages/search/repercussao-geral9764/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=15000536
ADI 4311 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur391261/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748266768
ADI 5024,https://jurisprudencia.stf.jus.br/pages/search/sjur392031/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748375833
ADI 4019,https://jurisprudencia.stf.jus.br/pages/search/sjur397505/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749076077
ADI 5800,https://jurisprudencia.stf.jus.br/pages/search/sjur404267/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749883225
ADI 5111,https://jurisprudencia.stf.jus.br/pages/search/sjur395694/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748774422
ADI 4272,https://jurisprudencia.stf.jus.br/pages/search/sjur410732/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750833024
ADI 4962,https://jurisprudencia.stf.jus.br/pages/search/sjur384036/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=14713342
ADI 5071 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur379703/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=14276265
ADI 4384 AgR-ED,https://jurisprudencia.stf.jus.br/pages/search/sjur403019/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749728776
ADI 5610,https://jurisprudencia.stf.jus.br/pages/search/sjur415093/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751418556
ADI 2873,https://jurisprudencia.stf.jus.br/pages/search/sjur4779/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=2873&classe=ADI
ADI 5589 ED,https://jurisprudencia.stf.jus.br/pages/search/sjur383907/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=14707438
ADI 422,https://jurisprudencia.stf.jus.br/pages/search/sjur410304/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750738448
ADI 1301,https://jurisprudencia.stf.jus.br/pages/search/sjur344723/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=10684487
ADI 5844 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur399486/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749318490
ADI 1623,https://jurisprudencia.stf.jus.br/pages/search/sjur191072/false,http://stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?numero=1623&classe=ADI
ADI 5267 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur410333/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=750738517
ADI 4361 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur203745/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=1682814
ADI 5455,https://jurisprudencia.stf.jus.br/pages/search/sjur416169/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751544355
ADI 4601,https://jurisprudencia.stf.jus.br/pages/search/sjur393926/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748604505
ADI 2595 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur379707/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=14276310
ADI 6083,https://jurisprudencia.stf.jus.br/pages/search/sjur417422/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=751676424
ADI 4363 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur397130/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748900736
ADI 4750 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur308640/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=8678359
ADI 4146 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur401205/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749507326
ADI 5432,https://jurisprudencia.stf.jus.br/pages/search/sjur395690/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=748774138
ADI 4008,https://jurisprudencia.stf.jus.br/pages/search/sjur379138/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=14217420
ADI 3852,https://jurisprudencia.stf.jus.br/pages/search/sjur333125/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=9975878
ADI 4058,https://jurisprudencia.stf.jus.br/pages/search/sjur398264/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749148971
ADI 3527 AgR,https://jurisprudencia.stf.jus.br/pages/search/sjur397943/false,http://www.stf.jus.br/portal/inteiroTeor/obterInteiroTeor.asp?idDocumento=749116148
